STORENAME,WHICHCVS,ADDRESS,시도,구군
설악산점,GS25,"강원 속초시 설악산로804, 1층 (설악동 12-4)",강원도,속초시
속사IC점,GS25,강원 평창군 용평면 운두령로15 (속사리 459-11),강원도,평창군
속초5주공점,GS25,"강원 속초시 소평로110, 상가 103호 (조양동 1567-1, 속초청대주공아파트)",강원도,속초시
속초갯배점,GS25,강원 속초시 중앙부두길47 (중앙동 482-245),강원도,속초시
속초교동점,GS25,"강원 속초시 수복로9, 1층(교동 974-8)",강원도,속초시
속초금강점,GS25,"강원 속초시 번영로42, A동 101호 (청학동 632-30, 금강아파트)",강원도,속초시
속초노학점,GS25,강원 속초시 관광로408번길1 (노학동 980-79),강원도,속초시
속초늘푸른점,GS25,"강원 속초시 미시령로3337번길7, 제상가동 1층 103호,104호 (교동 783)",강원도,속초시
속초대림점,GS25,"강원 속초시 미시령로3439, 104호 (금호동 627, 속초e-편한세상)",강원도,속초시
속초대우점,GS25,강원 속초시 먹거리길9 (교동 961),강원도,속초시
속초대포점,GS25,"강원 속초시 대포항길64, 1층 (대포동 958)",강원도,속초시
속초더클래스점,GS25,"강원 속초시 동해대로3915, 1층 (조양동 1288-22)",강원도,속초시
속초도로공사연수원점,GS25,"강원 속초시 온천로56, 1층 (노학동 572-1)",강원도,속초시
속초도문점,GS25,"강원 속초시 떡밭재로25, 1층 (도문동 1275)",강원도,속초시
속초동명점,GS25,강원 속초시 중앙로205(동명동 458-6),강원도,속초시
속초등대점,GS25,강원 속초시 영랑해안길5 (동명동 1-110),강원도,속초시
속초럭키점,GS25,강원 속초시 만천길20-2(교동 767-232),강원도,속초시
속초마리나베이점,GS25,강원 속초시 청초호반로24 (조양동 1558-2),강원도,속초시
속초명지점,GS25,"강원 속초시 미시령로3337번길6-17, 상가동 103호, 104호 (교동 1027)",강원도,속초시
속초미소점,GS25,"강원 속초시 중앙로17번길11, 111동 109호 (교동 739-3, 미소지움더뷰아파트)",강원도,속초시
속초베니키아점,GS25,"강원 속초시 동해대로3691, 1층 (대포동 790-14)",강원도,속초시
속초보광병원점,GS25,"강원 속초시 중앙로11, 1층 (교동 669-1, 속초보광병원)",강원도,속초시
속초부영점,GS25,"강원 속초시 조양로142번길15, 조양동. 부영아파트상가동101호102호 (조양동 1505, 부영아파트9단지)",강원도,속초시
속초블루핀점,GS25,강원 속초시 교동로1길11 (교동 658-40),강원도,속초시
속초서희스타점,GS25,"강원 속초시 동해대로3961, 서희스타힐스2차 근린상가 102호 (조양동 1390-2)",강원도,속초시
속초선사로점,GS25,강원 속초시 선사로5길29 (조양동 1516),강원도,속초시
속초설악점,GS25,강원 속초시 노리5길5(노학동 330-1),강원도,속초시
속초스위첸점,GS25,"강원 속초시 청대로40, A동 106호 (조양동 1572,속초KCC스위첸)",강원도,속초시
속초시외터미널점,GS25,강원 속초시 장안로19(동명동 261-5),강원도,속초시
속초시티프라디움점,GS25,"강원 속초시 미시령로3307, 상가 101호 (교동 1030, 시티프라디움)",강원도,속초시
속초아이파크점,GS25,강원 속초시 청호로22 (조양동 1438-4),강원도,속초시
속초양우점,GS25,"강원 속초시 온정로1길22-13, 상가동 103호 (조양동 1569, 속초조양양우내안애아파트)",강원도,속초시
속초영동점,GS25,"강원 속초시 미시령로3337번길6-49, 상가 109호(교동 618-10, 현대1차)",강원도,속초시
속초오복점,GS25,"강원 속초시 청대로22-8, 오복마트 (조양동 1294-27)",강원도,속초시
속초외옹치점,GS25,"강원 속초시 해오름로61, 1층 (대포동 677)",강원도,속초시
속초은성점,GS25,강원 속초시 동해대로4002 (조양동 1410-18),강원도,속초시
속초자이점,GS25,"강원 속초시 조양로181, 상가 2동 2104호 (조양동 663-1, 속초자이아파트)",강원도,속초시
속초장사항점,GS25,강원 속초시 장사항해안길11 (장사동 577-36),강원도,속초시
속초조양점,GS25,"강원 속초시 온정로26, 103,104호(조양동 1215-2)",강원도,속초시
속초중앙점,GS25,"강원 속초시 중앙로161-2, 1층 지하1층 (중앙동 468-40)",강원도,속초시
속초청학중앙점,GS25,"강원 속초시 중앙로79번길17, 2층 (청학동 483-19)",강원도,속초시
속초체스터톤스점,GS25,강원 속초시 엑스포로2길19 (교동 1021-17),강원도,속초시
속초타운점,GS25,"강원 속초시 밤골2길14, 1층 (교동 942-8)",강원도,속초시
속초타워점,GS25,강원 속초시 철새길43 (조양동 1543-4),강원도,속초시
속초하우스토리점,GS25,"강원 속초시 동해대로4280, 1층 (교동 804-89)",강원도,속초시
속초해변점,GS25,"강원 속초시 해오름로188번길12, 1층 (조양동 1449-2)",강원도,속초시
속초해오름점,GS25,강원 속초시 새마을길56 (조양동 1480-315),강원도,속초시
속초힐스테이트점,GS25,"강원 속초시 중앙로174, 상가 102호 (중앙동 468-217, 힐스테이트)",강원도,속초시
송지호해변점,GS25,강원 고성군 죽왕면 심층수길96 (오호리 산2-22),강원도,고성군
신동정원점,GS25,강원 정선군 신동읍 의림로201 (예미리 776-1),강원도,정선군
신림황둔점,GS25,강원 원주시 신림면 신림황둔로148 (신림리 158-15),강원도,원주시
