대표식품코드,대표식품명,식품유형,식품분류(대),식품분류(중),식품분류(소),대표식품 내 전통식품수
102549,석이버섯주악,복합식품,기호식,떡류,지진떡,1
102550,석이버섯찜,복합식품,부식,찜류,찜,1
102551,석이병,복합식품,기호식,떡류,찐떡,5
102553,석이전,복합식품,주식,면류,만두,1
102554,석이전유어,복합식품,부식,구이류,전유어,1
102555,석이찰떡,복합식품,기호식,떡류,찐떡,1
102556,석이편,복합식품,기호식,떡류,찐떡,1
102558,석창포,단일식품,기타,기타,기타,1
102560,석탄병,복합식품,기호식,떡류,찐떡,7
102561,석탄주,복합식품,주류,기타,기타,1
102562,석탄향,복합식품,기타,기타,기타,1
102563,석탄향주,복합식품,주류,기타,기타,1
102564,석향주,복합식품,주류,기타,기타,1
102565,석화꼬치구이,복합식품,부식,구이류,구이,1
102568,섞좌반,복합식품,부식,구이류,전,2
102570,선령비주,복합식품,주류,양조곡주,혼양곡주류,1
102571,선지국,복합식품,부식,국류,곰국,1
102572,선지순대국,복합식품,부식,국류,곰국,1
102574,선지피,기술,부식,찜류,찜,1
102575,선지피찌개,복합식품,부식,전골류,찌개,1
102576,설기떡,복합식품,기호식,떡류,기타,2
102577,설렁탕,복합식품,부식,국류,곰국,5
102578,설탕,복합식품,조미식,양념류,양념류,5
102579,설탕떡,복합식품,기호식,떡류,기타,1
102580,설탕버무리,복합식품,기호식,떡류,기타,1
102581,설탕콩,복합식품,기타,기타,기타,1
102582,설하멱,복합식품,부식,구이류,구이,3
102583,설하멱방,복합식품,부식,구이류,구이,1
102584,설하멱적,복합식품,부식,구이류,적,2
102585,섭산적,복합식품,부식,구이류,적,9
102586,섭화전,복합식품,기호식,떡류,지진떡,1
102587,성탄행,복합식품,주류,기타,기타,1
102588,세건반강정,복합식품,기호식,한과류,유과,13
102589,세건반연사과,복합식품,기호식,한과류,유과,21
102590,세건반요화,복합식품,기호식,한과류,유과,23
102593,세반산자,복합식품,기호식,한과류,유과,1
102594,세신주,복합식품,주류,양조곡주,순곡주류,3
102595,세파강회,복합식품,부식,회류,기타,1
102597,세환병,복합식품,기호식,떡류,지진떡,1
102601,소갈비국,복합식품,부식,국류,기타,1
102602,소갈비찜,복합식품,부식,찜류,찜,2
102604,소고기,복합식품,부식,회류,생회,10
102609,소고기과제,복합식품,기타,기타,기타,1
102610,소고기구이,복합식품,부식,구이류,구이,9
102611,소고기국,복합식품,부식,국류,기타,2
102612,소내장구이,복합식품,부식,구이류,구이,1
102613,소고기볶음,복합식품,부식,찜류,볶음,9
102614,소고기볶음장,복합식품,조미식,장류,된장,1
102615,소고기산적,복합식품,부식,구이류,구이,3
102617,소고기숙편,복합식품,부식,회류,편육,1
102619,소고기야채무침,복합식품,부식,나물류,숙채,1
102624,소고기포,복합식품,부식,장아찌류,기타,7
102625,소고기장,복합식품,조미식,장류,기타,2
102626,소고기조림,복합식품,부식,찜류,조림,3
102628,소고기전,복합식품,부식,구이류,전,2
102629,소고기전골,복합식품,부식,전골류,전골,5
102631,소고기죽,복합식품,주식,죽류,죽,3
102632,소고기찌개,복합식품,부식,전골류,찌개,1
102633,소고기찜,복합식품,부식,찜류,찜,2
102634,소고기탕,복합식품,부식,국류,탕류,3
102638,소고기회,복합식품,부식,회류,초회,3
