"메인 키","분류1","분류2","분류3","분류4","검색어","명칭","지번 주소","도로명 주소","행정 시","행정 구","행정 동"
"BE_LiST36-0229","교육/예술/종교","문화시설","박물관","","청계천문화관","청계천문화관","","","서울특별시","성동구","마장동"
"BE_LiST36-0230","교육/예술/종교","문화시설","박물관","","체신기념관","체신기념관","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST36-0231","교육/예술/종교","문화시설","박물관","","토이키노/장난감박물관","토이키노장난감박물관","","","서울특별시","종로구","삼청동"
"BE_LiST36-0232","교육/예술/종교","문화시설","박물관","","티벳박물관","티벳박물관","","","서울특별시","종로구","청운효자동"
"BE_LiST36-0233","교육/예술/종교","문화시설","박물관","","평강제일교회/성서유물박물관","평강제일교회성서유물박물관","","","서울특별시","구로구","오류2동"
"BE_LiST36-0234","교육/예술/종교","문화시설","박물관","","한국가구/박물관","한국가구박물관","","","서울특별시","성북구","성북동"
"BE_LiST36-0235","교육/예술/종교","문화시설","박물관","","한국영화박물관","한국영화박물관","","","서울특별시","마포구","상암동"
"BE_LiST36-0236","교육/예술/종교","문화시설","박물관","","한국은행화폐/금융박물관","한국은행화폐금융박물관","","","서울특별시","중구","소공동"
"BE_LiST36-0237","교육/예술/종교","문화시설","박물관","","한성백제박물관","한성백제박물관","","","서울특별시","송파구","오륜동"
"BE_LiST36-0238","교육/예술/종교","문화시설","박물관","","허준박물관","허준박물관","","","서울특별시","강서구","가양2동"
"BE_LiST36-0239","교육/예술/종교","문화시설","박물관","","호림박물관","호림박물관","","","서울특별시","관악구","미성동"
"BE_LiST36-0240","교육/예술/종교","문화시설","박물관","","화정박물관","화정박물관","","","서울특별시","종로구","평창동"
"BE_LiST36-0001","교육/예술/종교","문화시설","미술관","","LUX갤러리","LUX갤러리","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST36-0002","교육/예술/종교","문화시설","미술관","","PKM갤러리","PKM갤러리","","","서울특별시","종로구","삼청동"
"BE_LiST36-0003","교육/예술/종교","문화시설","미술관","","SJ갤러리","SJ갤러리","","","서울특별시","강남구","역삼2동"
"BE_LiST36-0004","교육/예술/종교","문화시설","미술관","","UUL국립/서울미술관","UUL국립서울미술관","","","서울특별시","종로구","삼청동"
"BE_LiST36-0005","교육/예술/종교","문화시설","미술관","","가나아트/스페이스","가나아트스페이스","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST36-0006","교육/예술/종교","문화시설","미술관","","가진화랑","가진화랑","","","서울특별시","종로구","청운효자동"
"BE_LiST36-0007","교육/예술/종교","문화시설","미술관","","간송미술관","간송미술관","","","서울특별시","성북구","성북동"
"BE_LiST36-0008","교육/예술/종교","문화시설","미술관","","강북시립/미술관","강북시립미술관","","","서울특별시","노원구","중계2.3동"
"BE_LiST36-0009","교육/예술/종교","문화시설","미술관","","갤러리고도","갤러리고도","","","서울특별시","종로구","종로1.2.3.4가동"
