"메인 키","분류1","분류2","분류3","분류4","검색어","명칭","지번 주소","도로명 주소","행정 시","행정 구","행정 동"
"BE_LiST37-0126","관광/숙박","숙박","일반호텔","","여관머니","여관머니","","","서울특별시","송파구","방이2동"
"BE_LiST37-0127","관광/숙박","숙박","일반호텔","","영빈호텔사우나","영빈호텔사우나","","","서울특별시","중구","광희동"
"BE_LiST37-0128","관광/숙박","숙박","일반호텔","","올림픽파크텔","올림픽파크텔","","","서울특별시","송파구","오륜동"
"BE_LiST37-0129","관광/숙박","숙박","일반호텔","","유양호텔","유양호텔","","","서울특별시","마포구","서교동"
"BE_LiST37-0130","관광/숙박","숙박","일반호텔","","유원호텔","유원호텔","","","서울특별시","서초구","서초3동"
"BE_LiST37-0131","관광/숙박","숙박","일반호텔","","이사벨호텔","이사벨호텔","","","서울특별시","서초구","서초3동"
"BE_LiST37-0132","관광/숙박","숙박","일반호텔","","자이언트호텔","자이언트호텔","","","서울특별시","강남구","삼성2동"
"BE_LiST37-0133","관광/숙박","숙박","일반호텔","","주영21","주영21","","","서울특별시","용산구","한남동"
"BE_LiST37-0134","관광/숙박","숙박","일반호텔","","준희빈호텔","준희빈호텔","","","서울특별시","마포구","합정동"
"BE_LiST37-0135","관광/숙박","숙박","일반호텔","","칼튼호텔","칼튼호텔","","","서울특별시","강서구","화곡6동"
"BE_LiST37-0136","관광/숙박","숙박","일반호텔","","코리아/관광호텔","코리아관광호텔","","","서울특별시","강동구","성내2동"
"BE_LiST37-0137","관광/숙박","숙박","일반호텔","","코리아호텔","코리아호텔","","","서울특별시","송파구","삼전동"
"BE_LiST37-0138","관광/숙박","숙박","일반호텔","","코보스호텔","코보스호텔","","","서울특별시","영등포구","여의동"
"BE_LiST37-0139","관광/숙박","숙박","일반호텔","","테마호텔","테마호텔","","","서울특별시","강서구","화곡본동"
"BE_LiST37-0140","관광/숙박","숙박","일반호텔","","테마호텔","테마호텔","","","서울특별시","중랑구","상봉2동"
"BE_LiST37-0141","관광/숙박","숙박","일반호텔","","토요코인","토요코인","","","서울특별시","중구","광희동"
"BE_LiST37-0142","관광/숙박","숙박","일반호텔","","톰지모텔","톰지모텔","","","서울특별시","송파구","방이2동"
"BE_LiST37-0143","관광/숙박","숙박","일반호텔","","톰지호텔","톰지호텔","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST37-0144","관광/숙박","숙박","일반호텔","","티이티이","티이티이","","","서울특별시","강남구","삼성1동"
"BE_LiST37-0145","관광/숙박","숙박","일반호텔","","티파니","티파니","","","서울특별시","강서구","발산1동"
"BE_LiST37-0146","관광/숙박","숙박","일반호텔","","프린세스호텔","프린세스호텔","","","서울특별시","강남구","압구정동"
"BE_LiST37-0147","관광/숙박","숙박","일반호텔","","플라워호텔","플라워호텔","","","서울특별시","동대문구","청량리동"
"BE_LiST37-0148","관광/숙박","숙박","일반호텔","","핀호텔","핀호텔","","","서울특별시","광진구","군자동"
"BE_LiST37-0149","관광/숙박","숙박","일반호텔","","호텔G","호텔G","","","서울특별시","강남구","논현1동"
"BE_LiST37-0150","관광/숙박","숙박","일반호텔","","호텔라까사","호텔라까사","","","서울특별시","강남구","신사동"
"BE_LiST37-0151","관광/숙박","숙박","일반호텔","","호텔마인드","호텔마인드","","","서울특별시","금천구","가산동"
"BE_LiST37-0152","관광/숙박","숙박","일반호텔","","호텔엘&에스","호텔엘&에스","","","서울특별시","중랑구","망우본동"
"BE_LiST37-0153","관광/숙박","숙박","일반호텔","","호텔케이피","호텔케이피","","","서울특별시","동대문구","휘경1동"
"BE_LiST37-0154","관광/숙박","숙박","일반호텔","","호텔티파니","호텔티파니","","","서울특별시","강남구","청담동"
"BE_LiST37-0155","관광/숙박","숙박","호텔 기타","","CF호텔","CF호텔","","","서울특별시","송파구","방이2동"
"BE_LiST37-0156","관광/숙박","숙박","호텔 기타","","갤러리호텔","갤러리호텔","","","서울특별시","은평구","녹번동"
"BE_LiST37-0157","관광/숙박","숙박","호텔 기타","","서울파트너스/하우스","서울파트너스하우스","","","서울특별시","용산구","한남동"
"BE_LiST37-0158","관광/숙박","숙박","호텔 기타","","세림호텔","세림호텔","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST37-0159","관광/숙박","숙박","호텔 기타","","젤리호텔","젤리호텔","","","서울특별시","강남구","역삼1동"
