"키","분류1","분류2","분류3","검색어","명칭","행정 시","행정 구","행정 동"
"BE_IW04-0285","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","황매산영화/주제공원","황매산영화주제공원","경상남도","산청군","차황면"
"BE_IW04-0286","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","황진이촬영지","황진이촬영지","경상북도","예천군","용문면"
"BE_IW04-0001","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","[러브레터]촬영장","[러브레터]촬영장","","",""
"BE_IW04-0002","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","[선택]촬영장소","[선택]촬영장소","전라남도","여수시","돌산읍"
"BE_IW04-0003","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","[태양을삼켜라]/촬영지","[태양을삼켜라]촬영지","제주특별자치도","서귀포시","남원읍"
"BE_IW04-0004","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","101번째프로포즈/촬영지","101번째프로포즈촬영지","충청남도","태안군","원북면"
"BE_IW04-0005","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","DIMA종합/촬영소","DIMA종합촬영소","경기도","안성시","삼죽면"
"BE_IW04-0006","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","KBS드라마촬영장","KBS드라마촬영장","","",""
"BE_IW04-0007","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","KBS/제천촬영장","KBS제천촬영장","충청북도","제천시","금성면"
"BE_IW04-0008","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","KBS해상세트장","KBS해상세트장","","",""
"BE_IW04-0009","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","KBS후토스/야외촬영장","KBS후토스야외촬영장","경상북도","봉화군","봉화읍"
"BE_IW04-0010","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","MBC드라마화정촬영지","MBC드라마화정촬영지","","",""
"BE_IW04-0163","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","아름다운/시절촬영지","아름다운시절촬영지","경상남도","의령군","궁류면"
"BE_IW04-0164","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","아트뱅크/촬영소","아트뱅크촬영소","경기도","남양주시","오남읍"
"BE_IW04-0165","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","야인시대/세트장","야인시대세트장","경기도","부천시 원미구","상3동"
"BE_IW04-0166","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","어느멋진날촬영지","어느멋진날촬영지","","",""
"BE_IW04-0167","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","어느멋진날/촬영지","어느멋진날촬영지","경기도","남양주시","조안면"
"BE_IW04-0168","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","어느멋진날촬영지","어느멋진날촬영지","","",""
"BE_IW04-0169","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","여름향기/촬영장소","여름향기촬영장소","강원도","평창군","대관령면"
"BE_IW04-0170","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","연개소문오픈세트장","연개소문오픈세트장","","",""
"BE_IW04-0171","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","연개소문촬영장","연개소문촬영장","","",""
"BE_IW04-0172","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","연개소문촬영장","연개소문촬영장","","",""
"BE_IW04-0173","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","연인세트장","연인세트장","인천광역시","옹진군","북도면"
"BE_IW04-0174","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","연풍연가촬영지","연풍연가촬영지","제주특별자치도","제주시","한림읍"
"BE_IW04-0175","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","엽기적인그녀/찰영지","엽기적인그녀찰영지","강원도","정선군","신동읍"
"BE_IW04-0176","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","엽기적인그녀촬영지","엽기적인그녀촬영지","","",""
"BE_IW04-0177","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","엽기적인그녀/촬영지","엽기적인그녀촬영지","부산광역시","사하구","하단1동"
"BE_IW04-0178","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","엽기적인그녀/촬영지","엽기적인그녀촬영지","경상남도","양산시","원동면"
"BE_IW04-0179","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","엽기적인그녀/촬영지","엽기적인그녀촬영지","경기도","하남시","풍산동"
"BE_IW04-0180","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","엽기적인그녀촬영지","엽기적인그녀촬영지","","",""
"BE_IW04-0181","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","영상관","영상관","경기도","남양주시","조안면"
"BE_IW04-0182","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","영상지원관","영상지원관","경기도","남양주시","조안면"
"BE_IW04-0183","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","영웅시대/촬영지","영웅시대촬영지","경상남도","창녕군","남지읍"
"BE_IW04-0184","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","오구촬영지","오구촬영지","경상남도","밀양시","부북면"
"BE_IW04-0185","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","온달오픈세트장","온달오픈세트장","충청북도","단양군","영춘면"
"BE_IW04-0186","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","올드보이/촬영지","올드보이촬영지","경상남도","산청군","생비량면"
"BE_IW04-0187","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","올인하우스","올인하우스","제주특별자치도","서귀포시","성산읍"
"BE_IW04-0188","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","완도소세포/오픈세트장","완도소세포오픈세트장","전라남도","완도군","완도읍"
"BE_IW04-0189","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","왕건촬영장","왕건촬영장","충청북도","제천시","금성면"
"BE_IW04-0190","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","왕의남자/촬영지","왕의남자촬영지","경기도","용인시 기흥구","상갈동"
"BE_IW04-0191","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","왕초촬영지","왕초촬영지","","",""
"BE_IW04-0192","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","외출촬영지","외출촬영지","","",""
"BE_IW04-0193","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","외출촬영지","외출촬영지","","",""
"BE_IW04-0194","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","외출촬영지","외출촬영지","","",""
"BE_IW04-0195","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","용의눈물촬영지","용의눈물촬영지","","",""
"BE_IW04-0196","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","용인MBC/드라미아","용인MBC드라미아","경기도","용인시 처인구","백암면"
"BE_IW04-0197","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","용인대장금파크","용인대장금파크","","",""
"BE_IW04-0198","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","워낭소리부부의집","워낭소리부부의집","","",""
"BE_IW04-0199","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","워낭소리/촬영지","워낭소리촬영지","경상북도","봉화군","상운면"
"BE_IW04-0200","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","월켐투동막골촬영지","월켐투동막골촬영지","","",""
"BE_IW04-0201","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","웰컴투동막골/영화세트장","웰컴투동막골영화세트장","강원도","평창군","미탄면"
"BE_IW04-0202","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","웰컴투동막골촬영지","웰컴투동막골촬영지","","",""
"BE_IW04-0203","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","은행나무침대/촬영지","은행나무침대촬영지","경상남도","거제시","동부면"
"BE_IW04-0204","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","은행나무침대촬영지","은행나무침대촬영지","","",""
"BE_IW04-0205","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","은행나무침대촬영지","은행나무침대촬영지","","",""
"BE_IW04-0206","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","이재수의난/촬영지","이재수의난촬영지","제주특별자치도","제주시","구좌읍"
