NO,SAMPLE_ID,식품코드,DB군,상용제품,식품명,연도,지역 / 제조사,채취시기,식품대분류,식품상세분류,1회제공량,내용량_단위,에너지(㎉),수분(g),단백질(g),지방(g),지질-가식부 100g당,탄수화물(g),총 식이섬유(g),칼슘(㎎),철(㎎),인(㎎),셀레늄(㎍),레티놀(㎍),레티놀A효능,비타민 B1(㎎),비타민 B2(㎎),나이아신(㎎),비타민 C(㎎),총 아미노산(g),이소류신(㎎),류신(㎎),라이신(㎎),메티오닌(㎎),페닐알라닌(㎎),트레오닌(㎎),트립토판(㎎),발린(㎎),히스티딘(㎎),아르기닌(㎎),티로신(㎎),시스테인(㎎),알라닌(㎎),아스파르트산(㎎),글루탐산(㎎),글리신(㎎),프롤린(㎎),세린(㎎),타우린(㎎),글리신 베타인(㎎),호마린(㎎),트리고넬린(㎎),리보핵산(㎎),데옥시리보핵산(㎎),냉산가용성물질(㎎),회분(g),성분표출처,발행기관
47,N000028-53-AVG,N000028,수산물,품목대표,갈래곰보,2018,완도,평균,수산물,해조류,100,g,-,-,-,-,-,-,-,-,-,-,0.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
48,N000029-33-05,N000029,수산물,품목대표,갈색고리돼지고둥,2018,부산,5월,수산물,패류,100,g,92,76.9,16.1,0.7,0.7,4.3,-,419,5,-,-,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,수('2018),국립수산과학원
49,N000030-33-05,N000030,수산물,품목대표,갈색띠매물고둥,2018,부산,5월,수산물,패류,100,g,78,79.2,15.1,0.2,0.2,3,-,36,1.6,50,-,11,50,0.02,0.12,2.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.5,수('2018),국립수산과학원
50,N000030-33-04,N000030,수산물,품목대표,갈색띠매물고둥,2018,부산,4월,수산물,패류,100,g,-,-,17.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.7,546,1159,940,426,556,676,124,638,319,1233,545,241,939,1205,2369,1043,707,629,460,-,-,-,-,-,-,-,수('2018),국립수산과학원
51,N000031-ZZ-AVG,N000031,수산물,품목대표,갈전갱이,2018,전국(대표),평균,수산물,어류,100,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,136,4.3,0,-,-,-,-,수('2018),국립수산과학원
52,N000031-89-03,N000031,수산물,품목대표,갈전갱이,2018,남해서부-EEZ(244),3월,수산물,어류,100,g,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
53,N000031-33-03,N000031,수산물,품목대표,갈전갱이,2018,부산,3월,수산물,어류,100,g,111,76,19.6,3,-,0.1,0,49,1,45,-,15,45,0.26,0.18,4.6,1,19.8,1029,1759,1829,580,1012,857,226,1117,391,1576,855,211,1187,1936,3085,794,650,677,84,-,-,-,-,-,-,1.3,수('2018),국립수산과학원
54,N000032-ZZ-AVG,N000032,수산물,품목대표,갈치,2018,전국(대표),평균,수산물,어류,100,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.2,0.6,0,-,-,-,-,수('2018),국립수산과학원
55,N000032-55-AVG,N000032,수산물,품목대표,갈치,2018,인천,평균,수산물,어류,100,g,149,72.7,18.5,7.5,-,0.1,0,46,1,65,-,20,65,0.13,0.11,2.3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.2,수('2018),국립수산과학원
56,N000032-33-12,N000032,수산물,품목대표,갈치,2018,부산,12월,수산물,어류,100,g,-,-,-,-,4.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
57,N000032-33-06,N000032,수산물,품목대표,갈치,2018,부산,6월,수산물,어류,100,g,-,-,-,-,-,-,-,-,-,-,0.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
58,N000032-33-04,N000032,수산물,품목대표,갈치,2018,부산,4월,수산물,어류,100,g,-,-,18.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.8,817,1396,1884,631,682,783,193,905,375,1019,636,214,974,1355,2944,795,507,665,33,-,-,-,-,-,-,-,수('2018),국립수산과학원
59,N000033-62-06,N000033,수산물,품목대표,갈치-속젓갈,2018,진주,6월,수산물,수산가공품,100,g,195,46.6,8.4,3.6,-,32.4,-,152,0.5,4,-,1,4,0,0.21,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,수('2018),국립수산과학원
60,N000034-ZZ-AVG,N000034,수산물,품목대표,갈치-얼간품,2018,전국(대표),평균,수산물,수산가공품,100,g,188,57.2,26.3,8.1,-,0.1,0,104,1.8,0,-,0,-,0.15,0.25,2.1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.3,수('2018),국립수산과학원
61,N000035-70-06,N000035,수산물,품목대표,갈치-젓갈,2018,"통영,알래스카산",6월,수산물,수산가공품,100,g,176,49.5,8.6,3.2,-,28.2,-,328,0.6,0,-,0,-,0,0.24,0,-,7.9,399,649,611,225,369,352,105,427,314,311,225,40,591,884,1347,304,423,296,107,-,-,-,-,-,-,10.5,수('2018),국립수산과학원
62,N000036-ZZ-AVG,N000036,수산물,품목대표,갈파래,2018,전국(대표),평균,수산물,해조류,100,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
63,N000036-70-11,N000036,수산물,품목대표,갈파래,2018,"통영,알래스카산",11월,수산물,해조류,100,g,-,-,32.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,1349,2494,1494,655,1850,1894,522,1897,409,2325,1140,338,3035,3000,4737,2000,1185,1626,83,-,-,-,-,-,-,-,수('2018),국립수산과학원
64,N000037-45-06,N000037,수산물,품목대표,감성돔,2018,여수,6월,수산물,어류,100,g,101,76.7,18.8,2.3,-,0.1,0,24,1.2,60,-,18,60,0.11,0.18,2.8,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.1,수('2018),국립수산과학원
65,N000037-33-12,N000037,수산물,품목대표,감성돔,2018,부산,12월,수산물,어류,100,g,-,-,21.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.7,1098,1922,1935,650,957,909,230,1131,425,1707,893,229,1332,2143,3423,906,678,739,436,-,-,-,-,-,-,-,수('2018),국립수산과학원
66,N000037-33-05,N000037,수산물,품목대표,감성돔,2018,부산,5월,수산물,어류,100,g,-,-,-,-,2.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
67,N000038-33-08,N000038,수산물,품목대표,강담돔,2018,부산,8월,수산물,어류,100,g,93,78.5,18.9,1.4,-,0.001,0,35,0.7,55,-,17,55,0.15,0.18,3.5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.2,수('2018),국립수산과학원
68,N000039-70-08,N000039,수산물,품목대표,강담돔-양식산,2018,"통영,알래스카산",8월,수산물,어류,100,g,-,-,-,-,5.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
69,N000040-72-06,N000040,수산물,품목대표,강도다리,2018,포항,6월,수산물,어류,100,g,-,-,-,-,3.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
70,N000040-33-06,N000040,수산물,품목대표,강도다리,2018,부산,6월,수산물,어류,100,g,-,-,-,-,-,-,-,-,-,-,0.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
