MAPIDX,STORENAME,WHICHCVS,ADDRESS
273,안성인지마트점,C·SPACE,경기 안성시 장기로69번길 17 (인지동)
274,이천호법점,C·SPACE,경기 이천시 호법면 중부대로 898
275,효창점,C·SPACE,서울 용산구 백범로 325 (원효로1가)
276,착한편의점 효점,C·SPACE,경기 용인시 기흥구 관곡로95 지하1층
277,위례역점,C·SPACE,"경기 성남시 수정구 위례서일로18, 1층 107호 (창곡동)"
278,이천점,C·SPACE,경기 이천시 마장면 프리미엄아울렛로33-27
279,정동길점,C·SPACE,서울 중구 정동길15
280,방배점,C·SPACE,서울 서초구 서초대로23길9
281,동작점,C·SPACE,서울 동작구 대림로 34 현덕빌딩 1층
282,광주포돌이점,C·SPACE,경기 광주 포돌이로 15(탄벌동 외1)
283,군자역점,C·SPACE,서울 광진구 면목로 56 1층
284,강동현대점,C·SPACE,서울 강동구 풍성로54길55 1층
285,중곡대원점,C·SPACE,서울 광진구 용마산로8가길 25
286,강동상일점,C·SPACE,서울 강동구 천호대로 1469
287,흑석중대점,C·SPACE,서울 동작구 서달로14가길 1
288,삼성1점,C·SPACE,서울 강남구 영동대로112길 5 대광빌딩
289,여의도4호점,C·SPACE,서울 영등포구 여의서로 62 (여의도동)
290,여의도3호점,C·SPACE,서울 영등포구 여의도동 84-9
291,안산석호로점,C·SPACE,경기 안산시 상록구 석호로 42 (이동)
292,오산해솔점,C·SPACE,경기 오산시 경기대로 587 (수청동)
293,광명소하점,C·SPACE,경기 광명시 소하로 109 (소하동)
294,은계호수점,C·SPACE,경기 시흥시 은계중앙로 220 (은행동)
295,이화리점,C·SPACE,경기 화성시 우정읍 이화뱅곳길 1
296,호매실점,C·SPACE,경기 수원시 권선구 매실로69번길 18 (호매실동)
297,구문천길점,C·SPACE,경기 화성시 향남읍 구문천1길 207
298,당산점,C·SPACE,"서울 영등포구 당산로 68 (당산동1가, 진로아파트)"
299,군포점,C·SPACE,경기 군포시 공단로 140번길 52
300,동탄기흥점,C·SPACE,경기 화성시 동탄기흥로 602 (영천동)
301,안양지오마트점,C·SPACE,경기 안양시 만안구 안양로319번길 42 (안양동)
302,상동삼성점,C·SPACE,경기 부천시 소향로13번길 14-23 (상동)
303,화성유일병원점,C·SPACE,경기 화성시 남양읍 남양로920번길 6
304,평택포승점,C·SPACE,경기 평택시 포승읍 석정로 14-1
305,금천점,C·SPACE,서울 금천구 가산로3길 25
306,아크로점,C·SPACE,"경기 안양시 동안구 엘에스로 35 (호계동, 호계아크로리버)"
307,정왕본점,C·SPACE,경기 시흥시 정왕천로359번길 58 (정왕동)
308,장곡점,C·SPACE,경기 시흥시 인선길 46 (장곡동 연성쉐르빌APT)
309,영등포점,C·SPACE,서울 영등포구 시흥대로 607 1층103
310,행복마트점,C·SPACE,경기 평택시 팽성읍 노와길 446
311,오비즈타워점,C·SPACE,경기 안양시 동안구 벌말로126 1층 138
312,부천오정점,C·SPACE,경기 부천시 성곡로 117
313,구로공단점,C·SPACE,서울 관악구 조원로 6 (신림동)
314,AK수원점,CU,"경기도 수원시 팔달구 덕영대로 924, 수원민자역사제 1호 외 11필지(매산로1가)"
315,BGF곤지암포켓점,CU,경기도 광주시 곤지암읍 건업길 92 (건업리)
316,BGF로지스용인점,CU,"경기도 용인시 기흥구 이현로30번길 131-1, (보정동) 1층"
317,BGF사옥점,CU,서울특별시 강남구 삼성동 141-10번지
318,BGF푸드포켓점,CU,전라북도 완주군 봉동읍 완주산단2로 282-21 (둔산리)
319,BNK금융타워점,CU,서울특별시 영등포구 국제금융로2길 24 BNK금융타워 (여의도동) BNK금융타워
320,catholic store2호점,CU,"경기도 부천시 원미구 지봉로 43, 가톨릭대학교 소피아바라관(역곡동)"
321,CJENM스튜디오센터점,CU,경기도 파주시 법흥리 1778번지 　
322,CK양평점,CU,서울특별시 영등포구 영등포로3길 16
323,C골드레이크CC골드점,CU,전라남도 나주시 남평읍 우산리 2396-8번지
324,C골드레이크CC레이크,CU,전라남도 나주시 남평읍 우산리 2383-2번지
325,C골드레이크CC밸리점,CU,전라남도 나주시 남평읍 우산리 2341-15번지
326,C골드레이크CC힐점,CU,전라남도 나주시 남평읍 나주호로 442-129 골드레이크CC (우산리) 골드레이크CC
327,C광주물류센터1호점,CU,경기도 광주시 초월읍 경충대로 1337-53 (대쌍령리)
328,C광주물류센터2호점,CU,경기도 광주시 초월읍 경충대로 1337-21 (대쌍령리)
329,C김포아시아나격납고,CU,서울특별시 강서구 하늘길 111 국내선주차대기실 (공항동) 국내선주차대기실
330,C다산베아채CC다산점,CU,전라남도 강진군 학장용산길 101 (도암면) 그늘집(다산)
331,C다산베아채CC베아채,CU,전라남도 강진군 학장용산길 101 (도암면) 그늘집(베아채)
332,C다산베아채CC장보고,CU,전라남도 강진군 학장용산길 101 (도암면) 학장용산길 101 그늘집(장보고)
333,C대한통운김포터미널,CU,경기도 김포시 아라육로152번길 115(고촌읍)
334,C더와이스퀘어볼링장,CU,경기도 용인시 처인구 역북동 802번지
335,C여미지식물원점,CU,제주특별자치도 서귀포시 중문관광로 93 (색달동)
336,C오창과학산업단지점,CU,충청북도 청주시 흥덕구 옥산면 과학산업4로 151-5 (남촌리)
337,C울산효성공장2호점,CU,울산광역시 남구 납도로 30 효성(주) (매암동) 효성(주)
338,C제주대첨단캠퍼스점,CU,제주특별자치도 제주시 첨단로8길 40 (아라일동)
339,C청주교육대학교점,CU,충청북도 청주시 서원구 청남로 2067 청주교대부설초등학교 (수곡동) 청주교대부설초등학교
340,C탑스테이볼링장1호점,CU,대전광역시 동구 중앙로200번길 66 (원동)
341,C탑스테이볼링장2호점,CU,대전광역시 동구 중앙로200번길 66 (원동)
342,C한국지엠창원공장2호,CU,경상남도 창원시 성산구 창원대로 1124 한국지엠창원공장2호점
343,C헬로네이처곤지암점,CU,경기도 광주시 곤지암읍 신대길 134-14 (신대리)
344,C화도DC점,CU,경기도 남양주시 화도읍 폭포로 137-45 화도물류센터 (창현리) 화도물류센터
345,DMC샛별점,CU,서울특별시 은평구 수색동 32-37번지
346,DMC우방점,CU,"서울특별시 은평구 증산로3길 26-1 (증산동) 우방아파트 1층 102, 103호"
347,E1제천충전소점,CU,충청북도 제천시 내토로 728 (장락동)
348,EBS일산사옥점,CU,"경기도 고양시 일산동구 한류월드로 281, (장항동) 지하1층"
349,ES충주호리조트점,CU,"충청북도 제천시 수산면 옥순봉로 1248, (능강리)"
350,E가평휴게소서울점,CU,경기도 가평군 미사리로 544 (설악면) 설악주유소
351,E가평휴게소춘천점,CU,경기도 가평군 미사리로540번길 51 (설악면) 설악휴게소
352,E경기광주휴게소광주,CU,경기도 광주시 곤지암읍 만삼로 211 _
353,E경기광주휴게소원주,CU,경기도 광주시 곤지암읍 만삼로 270 _
354,E곡성휴게소천안점,CU,전라남도 곡성군 겸면 호남고속도로 50 곡성(상)휴게소 (가정리) 곡성(상)휴게소
355,E괴산휴게소창원점,CU,충청북도 괴산군 장연면 중부내륙고속도로 205 괴산마산휴게소 (오가리) 괴산마산휴게소
356,E구리남양주휴게소점,CU,경기도 구리시 서울외곽순환고속도로 27 한국도로공사구리남양주영업소 (토평동) 한국도로공사구리남양주영업소
357,E군자휴게소점,CU,경기도 시흥시 군자로335번길 36-29 한국도로공사군자영업소 (거모동) 한국도로공사군자영업소
358,E김천휴게소부산점,CU,경상북도 김천시 농소면 경부고속도로 193 김천휴게소하행 (신촌리) 김천휴게소하행
359,E김천휴게소서울점,CU,경상북도 김천시 농소면 경부고속도로 194김천휴게소주유소 (신촌리) 김천휴게소주유소
360,E김포휴게소점,CU,경기도 김포시 고촌읍 김포대로319번길 209-23 한국도로공사김포영업소 (신곡리) 한국도로공사김포영업소 1층
361,E동명휴게소부산점,CU,경상북도 칠곡군 동명면 중앙고속도로 123 (가천리)
362,E동명휴게소춘천점,CU,경상북도 칠곡군 중앙고속도로 122 (동명면)
363,E문막휴게소인천점,CU,강원도 원주시 문막읍 개나루길 13 문막상행휴게소 (포진리) 문막상행휴게소
364,E별내휴게소포천점,CU,경기도 남양주시 구리포천고속도로 14 (별내면)
365,E서부산휴게소순천점,CU,부산광역시 강서구 남해2지선고속도로 19(대저2동)
366,E서울만남의광장점,CU,서울특별시 서초구 양재대로12길 73-71 만남의광장 (원지동) 만남의광장
